ID,Condition,Age,Gender,Nationality,Education,Robot interaction,Robot movies,Robot control,Robot program,Mental rating,Physical rating,Temporal rating,Performance rating,Effort rating,Frustration rating,Mental tally,Physical tally,Temporal tally,Performance tally,Effort tally,Frustration tally,Mental weight,Physical weight,Temporal weight,Performance weight,Effort weight,Frustration weight,NASA overall,T1 Dependable,T1 Reliable,T1 Unresponsive,T1 Predictable,T1 ActConsistently,T1 FunctionSuccessfully,T1 Malfunction,T1 HaveErrors,T1 ProvideFeedback,T1 MeetTheNeeds,T1 ProvideAppropriateInformation,T1 CommunicateWithPeople,T1 Perform exactly as instructed,T1 Follow Directions,T2 Dependable,T2 Reliable,T2 Unresponsive,T2 Predictable,T2 ActConsistently,T2 FunctionSuccessfully,T2 Malfunction,T2 HaveErrors,T2 ProvideFeedback,T2 MeetTheNeeds,T2 ProvideAppropriateInformation,T2 CommunicateWithPeople,T2 Perform exactly as instructed,T2 Follow Directions,G1 UserScore,G1 RobotScore,G1 UserMistake,G1 RobotMistake,G1 Missed,G1 Total,G2 UserScore,G2 RobotScore,G2 UserMistake,G2 RobotMistake,G2 Missed,G2 Total,Godspeed Incompetent, Godspeed Mechanical,Godspeed Irresponsible,Godspeed  Unconscious,Godspeed Foolish,Godspeed Unpleasant,Godspeed  Ignorant,Godspeed  Artificial,Godspeed Unintelligent,Godspeed Inert,Godspeed Anxious,Godspeed Happy,Godspeed Quiescent,Godspeed Bored,Godspeed Agitated,Godspeed Angry,R1 Missed Yellow,R1 Missed Red,R1 Missed Green,R1 User Correct Yellow,R1 User Correct Red,R1 User Correct Green,R1 Robot Correct Yellow,R1 Robot Correct Red,R1 Robot Correct Green,R1 User Incorrect Yellow,R1 User Incorrect Red,R1 User Incorrect Green,R1 Robot Incorrect Yellow,R1 Robot Incorrect Red,R1 Robot Incorrect Green,R1 color mistake prevented,R1 grasp mistake prevented,R2 Missed Yellow,R2 Missed Red,R2 Missed Green,R2 User Correct Yellow,R2 User Correct Red,R2 User Correct Green,R2 Robot Correct Red,R2 Robot Correct Green,R2 User Incorrect Yellow,R2 User Incorrect Red,R2 User Incorrect Green,R2 Robot Incorrect Red,R2 Robot Incorrect Green,R2 color mistake prevented,R2 grasp mistake prevented
1,visual,29,Female,Danish,MSc,2-5,10+,0,0,55,10,65,25,20,20,3,0,5,4,1,2,0.2,0,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,43.33333333333333,60,50,20,50,40,40,30,20,0,80,0,0,80,0,70,60,20,60,70,70,10,10,0,60,0,0,60,0,26,28,0,0,0,54,22,30,0,6,0,46,2,1,3,2,2,3,3,1,2,1,4,2,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,visual,25,Male,Hungarian,BSc,0,2-5,0,0,65,10,35,30,45,45,5,1,3,3,3,0,0.3333333333333333,0.06666666666666667,0.2,0.2,0.2,0,44.3333333333,80,80,20,80,90,90,10,10,0,90,50,0,90,100,60,50,50,50,50,50,50,50,20,60,70,50,50,50,38,2,1,0,0,39,24,28,0,4,0,48,3,1,3,1,3,3,3,1,3,1,4,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,written,23,Male,Danish,HighSchool,10+,10+,2-5,0,30,30,50,15,40,15,4,0,1,4,3,3,0.26666666666666666,0,0.06666666666666667,0.26666666666666666,0.2,0.2,26.333333333,50,50,0,100,100,100,0,0,0,50,100,100,100,0,50,50,60,80,50,50,30,60,50,30,20,20,50,70,30,12,0,2,3,37,32,14,0,2,0,44,4,3,4,3,3,3,3,3,3,2,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,written,22,Male,Danish,HighSchool,10+,10+,10+,5-10,15,5,10,10,35,15,1,0,4,5,2,3,0.06666666666666667,0,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.2,14.666666666666668,90,80,10,90,90,90,10,10,40,70,80,50,90,90,90,90,20,100,100,60,0,0,40,70,50,80,90,100,25,24,1,2,1,45,25,30,0,0,0,55,5,1,2,2,4,5,3,1,3,2,4,1,1,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,written,25,Female,Danish,HighSchool,0,2-5,0,0,80,70,75,30,70,65,5,1,2,2,2,3,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,67.6666666666,60,70,30,80,90,70,20,20,100,80,70,60,70,80,50,30,60,90,80,60,30,40,40,30,60,40,30,40,32,14,0,2,0,44,20,30,0,10,0,40,2,3,3,3,2,3,4,1,3,2,2,3,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,visual,23,Female,Danish,HighSchool,10+,10,5-10,1-2,20,25,30,25,45,65,5,0,3,2,3,2,0.3333333333333333,0,0.2,0.13333333333333333,0.2,0.13333333333333333,33.666666666666664,80,60,20,80,80,70,10,20,70,80,60,60,80,70,60,50,70,60,70,60,0,20,60,60,70,70,60,70,25,20,0,0,5,40,19,28,1,4,4,38,3,1,4,3,3,2,3,1,3,1,5,2,3,4,4,4,,,,,,,,,,,,,,,,,,0,4,0,9,0,10,7,7,1,0,0,2,0,4,4
7,written,23,Male,Danish,HighSchool,10+,10+,10+,5-10,65,25,65,70,60,80,5,0,3,1,2,4,0.3333333333333333,0,0.2,0.06666666666666667,0.13333333333333333,0.26666666666666666,68.66666666,90,90,10,100,100,90,10,10,80,90,80,80,80,80,60,50,40,60,70,60,50,50,90,60,80,90,60,70,29,18,1,2,0,44,24,30,1,0,0,53,3,4,4,3,3,3,3,2,3,4,3,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,written,24,Male,Danish,BSc,2-5,10+,2-5,1-2,70,60,75,30,55,65,5,1,3,3,3,0,0.333,0.06666,0.2,0.2,0.2,0,59.3333,80,80,20,90,80,80,50,0,100,100,50,0,100,50,30,30,20,50,40,0,0,30,0,20,10,0,30,10,23,28,2,2,0,47,21,28,1,8,0,40,2,1,2,1,5,5,1,1,2,1,4,2,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,visual,21,Male,Polish,HighSchool,2-5,10+,2-5,1-2,95,65,85,85,95,15,5,0,3,4,2,1,0.333333,0,0.2,0.266,0.1333,0.0666,85,80,60,10,60,90,90,20,100,10,80,10,0,80,100,20,10,90,10,60,10,60,80,0,20,0,0,20,80,40,0,0,0,0,40,26,22,2,6,0,42,2,1,3,1,2,5,3,1,2,2,3,3,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,visual,25,Female,Hungarian,BSc,10+,10+,10+,10+,20,10,25,15,25,65,2,0,3,4,1,5,0.1333,0,0.2,0.2666,0.0666,0.3333,35,90,90,30,60,90,60,20,10,20,80,50,20,100,70,80,70,90,100,100,90,10,0,0,90,90,70,100,100,26,26,0,2,0,50,23,32,0,0,1,54,3,1,4,2,5,3,1,1,2,4,4,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,visual,26,Male,Brazilian,MSc,0,10+,0,0,65,15,50,25,40,10,5,1,4,2,3,0,0.333,0.0666,0.2666,0.1333,0.2,0,47.3333333,60,80,30,80,90,80,20,20,0,60,80,0,80,60,40,80,40,70,90,80,0,30,80,40,80,60,40,60,25,26,0,4,0,47,25,30,0,0,0,55,3,1,3,1,2,5,4,1,3,4,3,1,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,visual,28,Male,Danish,MSc,10+,10+,2-5,0,65,80,15,20,65,20,2,4,2,5,2,0,0.13333,0.26666,0.1333,0.33333,0.13333,0,47.3333333,70,70,0,50,100,100,0,30,100,70,100,90,100,100,60,80,10,90,100,70,10,30,20,60,100,100,60,70,24,24,1,0,3,44,26,24,0,4,0,46,3,1,4,3,4,3,3,1,4,5,5,2,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,written,26,Female,Bulgarian,MSc,0,10+,0,0,40,35,5,25,20,15,5,4,1,2,3,0,0.333,0.266666,0.06666,1.3333333,0.2,0,30.3333333,20,60,20,90,90,80,40,10,50,80,80,50,100,100,80,80,20,70,80,70,10,10,50,70,70,60,80,100,24,26,0,2,2,46,24,22,0,10,0,36,3,1,4,4,4,5,4,1,5,5,5,1,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,written,29,Male,Hungarian,MSc,1-2,2-5,1-2,0,60,25,70,65,65,65,4,0,3,3,1,4,0.2666,0,0.2,0.2,0.06666,0.26666,64.66666,10,90,0,90,90,90,10,10,100,90,90,90,90,90,30,70,30,70,70,70,20,20,70,70,70,70,70,70,28,20,0,4,0,44,22,24,0,10,1,35,3,2,3,3,3,3,3,1,3,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,visual,24,Male,Indian,BSc,10+,5-10,10+,10+,70,35,75,5,75,70,4,1,4,4,1,1,0.266666,0.06666,0.2666666,0.266666,0.06666,0.0666666,52,90,80,30,80,90,90,20,30,30,90,40,30,90,90,60,60,60,30,60,60,40,70,30,60,30,30,60,70,35,6,1,2,0,38,24,32,0,0,0,56,4,2,3,2,3,4,2,2,4,2,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
