ID,Condition,Age,Gender,Nationality,Education,Robot interaction,Robot movies,Robot control,Robot program,Mental rating,Physical rating,Temporal rating,Performance rating,Effort rating,Frustration rating,Mental tally,Physical tally,Temporal tally,Performance tally,Effort tally,Frustration tally,Mental weight,Physical weight,Temporal weight,Performance weight,Effort weight,Frustration weight,NASA overall,T1 Dependable,T1 Reliable,T1 Unresponsive,T1 Predictable,T1 ActConsistently,T1 FunctionSuccessfully,T1 Malfunction,T1 HaveErrors,T1 ProvideFeedback,T1 MeetTheNeeds,T1 ProvideAppropriateInformation,T1 CommunicateWithPeople,T1 Perform exactly as instructed,T1 Follow Directions,T2 Dependable,T2 Reliable,T2 Unresponsive,T2 Predictable,T2 ActConsistently,T2 FunctionSuccessfully,T2 Malfunction,T2 HaveErrors,T2 ProvideFeedback,T2 MeetTheNeeds,T2 ProvideAppropriateInformation,T2 CommunicateWithPeople,T2 Perform exactly as instructed,T2 Follow Directions,G1 UserScore,G1 RobotScore,G1 UserMistake,G1 RobotMistake,G1 Missed,G1 Total,G2 UserScore,G2 RobotScore,G2 UserMistake,G2 RobotMistake,G2 Missed,G2 Total,Godspeed Incompetent, Godspeed Mechanical,Godspeed Irresponsible,Godspeed  Unconscious,Godspeed Foolish,Godspeed Unpleasant,Godspeed  Ignorant,Godspeed  Artificial,Godspeed Unintelligent,Godspeed Inert,Godspeed Anxious,Godspeed Happy,Godspeed Quiescent,Godspeed Bored,Godspeed Agitated,Godspeed Angry,R1 Missed Yellow,R1 Missed Red,R1 Missed Green,R1 User Correct Yellow,R1 User Correct Red,R1 User Correct Green,R1 Robot Correct Yellow,R1 Robot Correct Red,R1 Robot Correct Green,R1 User Incorrect Yellow,R1 User Incorrect Red,R1 User Incorrect Green,R1 Robot Incorrect Yellow,R1 Robot Incorrect Red,R1 Robot Incorrect Green,R1 total color mistake prevented,R1 total grasp mistake prevented,R2 Missed Yellow,R2 Missed Red,R2 Missed Green,R2 User Correct Yellow,R2 User Correct Red,R2 User Correct Green,R2 Robot Correct Yellow,R2 Robot Correct Red,R2 Robot Correct Green,R2 User Incorrect Yellow,R2 User Incorrect Red,R2 User Incorrect Green,R2 Robot Incorrect Yellow,R2 Robot Incorrect Red,R2 Robot Incorrect Green,R2 total color mistake prevented,R2 total grasp mistake prevented,R1 red itchy zone mistake correctsort,R1 green itchy zone mistake correctsort,R1 red prevention zone mistake correctsort,R1 green prevention zone mistake correctsort,R1 red robot zone mistake correctsort,R1 green robot zone mistake correctsort,R1 red cleanup zone mistake correctsort,R1 green cleanup zone mistake correctsort,R2 red itchy zone mistake correctsort,R2 green itchy zone mistake correctsort,R2 red prevention zone mistake correctsort,R2 green prevention zone mistake correctsort,R2 red robot zone mistake correctsort,R2 green robot zone mistake correctsort,R2 red cleanup zone mistake correctsort,R2 green cleanup zone mistake correctsort,R1 avg dist prevent red,R1 avg dist prevent green,R2 avg dist prevent red,R2 avg dist prevent green,R1 total can avg distance green,R1 total can avg distance yellow,R1 total can avg distance red,R2 total can avg distance green,R2 total can avg distance yellow,R2 total can avg distance red,R1 red itchy zone all correctsort,R1 green itchy zone all correctsort,R1 yellow itchy zone all correctsort,R1 red prevention zone all correctsort,R1 green prevention zone all correctsort,R1 yellow prevention zone all correctsort,R1 red robot zone all correctsort,R1 green robot zone all correctsort,R1 yellow robot zone all correctsort,R1 red cleanup zone all correctsort,R1 green cleanup zone all correctsort,R1 yellow cleanup zone all correctsort,R2 red itchy zone all correctsort,R2 green itchy zone all correctsort,R2 yellow itchy zone all correctsort,R2 red prevention zone all correctsort,R2 green prevention zone all correctsort,R2 yellow prevention zone all correctsort,R2 red robot zone all correctsort,R2 green robot zone all correctsort,R2 yellow robot zone all correctsort,R2 red cleanup zone all correctsort,R2 green cleanup zone all correctsort,R2 yellow cleanup zone all correctsort
1,visual,29,Female,Danish,MSc,Between 2 and 5,More than 10,None,None,55,10,65,25,20,20,3,0,5,4,1,2,0.2,0,0.3333333333,0.2666666667,0.0666666667,0.1333333333,43.3333333333,60,50,20,50,40,40,30,20,0,80,0,0,80,0,70,60,20,60,70,70,10,10,0,60,0,0,60,0,26,28,0,0,0,54,22,30,0,6,0,46,2,1,3,2,2,3,3,1,2,1,4,2,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,visual,25,Male,Hungarian,BSc,None,Between 2 and 5,None,None,65,10,35,30,45,45,5,1,3,3,3,0,0.3333333333,0.0666666667,0.2,0.2,0.2,0,44.3333333333,80,80,20,80,90,90,10,10,0,90,50,0,90,100,60,50,50,50,50,50,50,50,20,60,70,50,50,50,38,2,1,0,0,39,24,28,0,4,0,48,3,1,3,1,3,3,3,1,3,1,4,3,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,written,23,Male,Danish,HighSchool,More than 10,More than 10,Between 2 and 5,None,30,30,50,15,40,15,4,0,1,4,3,3,0.2666666667,0,0.0666666667,0.2666666667,0.2,0.2,26.333333333,50,50,0,100,100,100,0,0,0,50,100,100,100,0,50,50,60,80,50,50,30,60,50,30,20,20,50,70,30,12,0,2,3,37,32,14,0,2,0,44,4,3,4,3,3,3,3,3,3,2,3,2,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,written,22,Male,Danish,HighSchool,More than 10,More than 10,More than 10,Between 5 and 10,15,5,10,10,35,15,1,0,4,5,2,3,0.0666666667,0,0.2666666667,0.3333333333,0.1333333333,0.2,14.6666666667,90,80,10,90,90,90,10,10,40,70,80,50,90,90,90,90,20,100,100,60,0,0,40,70,50,80,90,100,25,24,1,2,1,45,25,30,0,0,0,55,5,1,2,2,4,5,3,1,3,2,4,1,1,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,written,25,Female,Danish,HighSchool,None,Between 2 and 5,None,None,80,70,75,30,70,65,5,1,2,2,2,3,0.3333333333,0.0666666667,0.1333333333,0.1333333333,0.1333333333,0.2,67.6666666666,60,70,30,80,90,70,20,20,100,80,70,60,70,80,50,30,60,90,80,60,30,40,40,30,60,40,30,40,32,14,0,2,0,44,20,30,0,10,0,40,2,3,3,3,2,3,4,1,3,2,2,3,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,visual,23,Female,Danish,HighSchool,More than 10,10,Between 5 and 10,Between 1 and 2,20,25,30,25,45,65,5,0,3,2,3,2,0.3333333333,0,0.2,0.1333333333,0.2,0.1333333333,33.6666666667,80,60,20,80,80,70,10,20,70,80,60,60,80,70,60,50,70,60,70,60,0,20,60,60,70,70,60,70,25,20,0,0,5,40,19,28,1,4,4,38,3,1,4,3,3,2,3,1,3,1,5,2,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,10,0,7,7,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,written,23,Male,Danish,HighSchool,More than 10,More than 10,More than 10,Between 5 and 10,65,25,65,70,60,80,5,0,3,1,2,4,0.3333333333,0,0.2,0.0666666667,0.1333333333,0.2666666667,68.66666666,90,90,10,100,100,90,10,10,80,90,80,80,80,80,60,50,40,60,70,60,50,50,90,60,80,90,60,70,29,18,1,2,0,44,24,30,1,0,0,53,3,4,4,3,3,3,3,2,3,4,3,3,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,written,24,Male,Danish,BSc,Between 2 and 5,More than 10,Between 2 and 5,Between 1 and 2,70,60,75,30,55,65,5,1,3,3,3,0,0.333,0.06666,0.2,0.2,0.2,0,59.3333,80,80,20,90,80,80,50,0,100,100,50,0,100,50,30,30,20,50,40,0,0,30,0,20,10,0,30,10,23,28,2,2,0,47,21,28,1,8,0,40,2,1,2,1,5,5,1,1,2,1,4,2,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,visual,21,Male,Polish,HighSchool,Between 2 and 5,More than 10,Between 2 and 5,Between 1 and 2,95,65,85,85,95,15,5,0,3,4,2,1,0.333333,0,0.2,0.266,0.1333,0.0666,85,80,60,10,60,90,90,20,100,10,80,10,0,80,100,20,10,90,10,60,10,60,80,0,20,0,0,20,80,40,0,0,0,0,40,26,22,2,6,0,42,2,1,3,1,2,5,3,1,2,2,3,3,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,visual,25,Female,Hungarian,BSc,More than 10,More than 10,More than 10,More than 10,20,10,25,15,25,65,2,0,3,4,1,5,0.1333,0,0.2,0.2666,0.0666,0.3333,35,90,90,30,60,90,60,20,10,20,80,50,20,100,70,80,70,90,100,100,90,10,0,0,90,90,70,100,100,26,26,0,2,0,50,23,32,0,0,1,54,3,1,4,2,5,3,1,1,2,4,4,2,1,1,4,2,0,0,0,12,5,9,0,6,7,0,0,0,1,0,0,6,8,0,0,1,10,7,6,0,6,10,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
